,Unnamed: 0,season,episode_number,episode_title,quote,author
34476,46628,8,15,The Birthing Video,(entering from her bedroom) So what do you think? (referring to her outfit) (Chandler glances up at Monica with his mouth still wide open and his eyes still huge),Monica
14506,23311,4,22,The Worst Best Man Ever,(to her babies) Stop it!,Phoebe
37402,50138,9,5,Phoebe`s Birthday Dinner,Spend more time with the tie. Thatll make a baby.,Monica
45025,59764,10,17,"The Last One, Part I & II","Uh, I think she`s still asleep. Hey, hey, how did it go with you guys last night? She seemed pretty pissed at you.",Joey
11313,19446,4,7,Chandler Crosses The Line,"It just keeps getting worse and worse! Y`know? I mean its bad enough that Im in love with my roommates girlfriendwhich by the way, I think she knows. Because every time were in the room together theres this weird like energy between us. And call me crazy, but I think she likes me too. And now I have seen her naked. I mean at least when Ive seen her with clothes on, I could imagine her body was like covered in boles or something. But there are no boles, shes smooth! Smooth! (leaves)",Chandler
8007,15214,3,15,Ross And Rachel Take A Break,"So, what are you doing here? I thought tonight was your big anniversary dinner.",Chandler
20459,30151,6,1,Vegas,"Well, what if all my stuff was here?",Chandler
13135,21642,4,15,All The Rugby,JOEY!!!!!!,Ross
11347,19483,4,7,Chandler Crosses The Line,(interrupting) Oh my God! Play!,Chandler
5428,12078,3,3,The Jam,"Oooh. Oh, well this is awkward.",Phoebe
28244,39139,7,11,All The Cheesecakes,"Oh, I wouldnt miss this.",Phoebe
38109,51408,9,10,Christmas In Tulsa,"All right everybody, I know that it`s Christmas Eve and you`d rather be with your families, but there`s *no* call (he takes it off) for writing `Screw you, Mr. Bing!` on the back of my chair! (he looks at it) -- By the way, you can all call me Chandler.",Chandler
45021,59760,10,17,"The Last One, Part I & II","Yeah, and I have a definite feeling it`s gonna be a girl.",Phoebe
29700,40919,7,18,Joey`s Award,and it was Ernst Muhlbrat who first hypothesized that the Velociraptor would expand its collar and emit a high pitched noise to frighten its predator. (A student raises his hand.) Yes Mr. Lewis?,Ross
13818,22544,4,19,All The Haste,Santa pants. (Phoebe still doesnt get it.) Santa Clauss pants.,Chandler
29205,40355,7,16,The Truth About London,Joe,Chandler
9152,16687,3,21,The Chick And The Duck,(looking at the outfit) Got a job on a river boat?,Rachel
3656,4787,1,20,The Evil Orthodontist,"No, not that, I mean, what about you and Mindy?",Rachel
767,942,1,4,George Stephanopoulos,"Well, how long do you think it`ll be?",Joey
26655,37302,7,4,Rachel`s Assistant,"Did you not hear me say, `Du-ude?!`",Chandler
36267,48826,8,23,Rachel Has A Baby,Oh shesshes perfect.,Ross
25753,36325,6,24,"The Proposal, Part I & II","(to the mask) I missed you-you ugly, flat faced old freak!",Monica
39103,52609,9,16,The Boob Job,"Ok..You know the old classics you know,You look nice? They`re still ok.",Monica
25250,35734,6,23,The Ring,Thank God! (Grabs his card.),Chandler
44146,58706,10,13,Joey Speaks French,I was gonna make us some dinner but all I found in your dad`s fridge was bacon and heavy cream. (pause) I think we solved the mystery of the heart attack.,Ross
15114,23998,5,1,Ross Says Rachel,(laughs) Thats okay.,Monica
43980,58519,10,12,Phoebe`s Wedding,"(to Ross) Na ha ha... (to Chappy) Ne he he... (Ross moves Chappy to Chandler, who quickly backs away) Ah ah...",Chandler
2654,3311,1,14,The Candy Hearts,Janice is gonna go away now.,Chandler
8706,16066,3,18,The Hypnosis Tape,Cause I dont want to encourage this kind of behaviour.,Monica
11220,19331,4,6,The Dirty Girl,"So, you just left? Her place was really that bad?",Joey
27145,37861,7,6,The Nap Partners,And shes back in the game.,Joey
15306,24202,5,2,All The Kissing,Rachel locked the door.,Monica
16199,25218,5,6,The Yeti,"Wow, this is so weird. I just realized this might be the last time we`ll all be hanging out together.",Monica
24557,34828,6,20,Mac And C.H.E.E.S.E.,"HuhWait so Joey if you get this, youre gonna be like the star of your own TV show! I mean youll be like the Big Cheese! (To Phoebe) Or the Big MacHey! You love those!",Rachel
15385,24282,5,2,All The Kissing,"No. No. No, I`m-I`m glad you did. Look, if nothing else, it`s-it`s always great when someone tells you they love you.",Ross
9450,17012,3,22,The Screamer,"Okay, wait, you gotta hang up cause were gonna be late.",Monica
43768,58269,10,12,Phoebe`s Wedding,"Oh no, no, no, let your dad get this.",Joey
14088,22841,4,20,The Wedding Dresses,"Hey, yknow, yknow what would make me really happy?",Ross
26058,36653,7,1,Monica`s Thunder,"Now (Starts singing again) `Who will perform the ceremony! Who will perform the cer(Chandler enters and grabs her guitar and closes the door behind him)Ohoh! All right, Ill pound on him in the morning.",Phoebe
7119,14098,3,11,Chandler Can`t Remember Which Sister,Chandler!,Joey
11898,20145,4,9,They`re Going To Party,"Phoebe, wait a minute! (runs after her, leaving Rachel alone)",Monica
19848,29482,5,23,In Vegas,Huh.,Chandler
26875,37567,7,5,The Engagement Picture,"Okay, firstfirst of all, you want to make it look spontaneous. I look down (Looks down), look down, keep looking down; then I look up. (Looks up and smiles.) See? All right, now you try. Look down (Chandler looks down), youre looking down, keep looking down",Joey
11446,19607,4,7,Chandler Crosses The Line,"Yeah, okay.",Ross
17260,26478,5,12,Chandler`s Work Laugh,Hey Ross!,Joey
21998,31814,6,8,Ross`s Teeth,Now are drawers will smell nice and we didnt waste these pantyhose.,Monica
10880,18904,4,4,The Ballroom Dancing,Hi.,Chandler
26795,37472,7,5,The Engagement Picture,Okay. (Does The Face.),Chandler
13564,22198,4,17,The Free Porn,Okay.,Rachel
40808,54629,9,23,In Barbados,"Oh my God, I love you.",Ross
936,1135,1,5,The East German Laundry Detergent,Which what?,Joey
12917,21362,4,14,Joey`s Dirty Day,"I dont care! All right, yknow what Im just upset that Im getting nowhere with Joshua thatyknow what still, you do not meet someone and go flitting off to Vermont!",Rachel
22263,32142,6,9,Ross Got High,"Oh yeah, about telling Mom and Dad, I was thinking about maybe writing a letter.",Ross
26625,37272,7,4,Rachel`s Assistant,"Oh its always nicer to here than, `Aw crap! You again!`",Chandler
2771,3472,1,15,The Stoned Guy,Her name is Celia. She`s not a bug lady. She`s curator of insects at the museum.,Ross
35763,48192,8,21,The Cooking Class,Okay.,Monica
5848,12571,3,5,Frank Jr.,Hey-hey!,Joey
21393,31172,6,6,On The Last Night,Right! And when is that due?,Joey
32240,43948,8,5,Rachel`s Date,"(To him) Oh, well hello there.",Phoebe
10571,18498,4,3,The Cuffs,"I dont understand! Last time you went out with her you said she was a big, dull dud.",Rachel
24677,34963,6,20,Mac And C.H.E.E.S.E.,"Yes, yes it is. In prison!",Ross
26957,37673,7,5,The Engagement Picture,"And yknow, even if they break up again, youd better not let him in your sad mens club!",Phoebe
41521,55552,10,2,Ross Is Fine,No!,Ross
7410,14438,3,12,All The Jealousy,"Oh, I`m so glad you guys like it. Yay! All right I gotta go to work. (tries to take the poem)",Monica
22464,32402,6,10,The Routine,"Now you do that, youre on TV.",Chandler
8979,16442,3,20,The Dullhouse,"Okay, (starts to pack up her stuff) fine. Come dinosaur, were not welcome in the house of no imagination.",Phoebe
41255,55201,10,1,Joey and Rachel Kiss,Do you mind if I sit here for a sec.?,Ross
26118,36713,7,2,Rachel`s Book,I dont know! But he did not eat your face cream!,Joey
1142,1388,1,6,The Butt,"Okay, so I`m responsible, I`m organised. But hey, I can be a kook.",Monica
1184,1432,1,6,The Butt,"Uh, listen, I just wanna thank you for this great opportunity.",Joey
31148,42613,7,23,Chandler And Monica`s Wedding,"Big picture please! So I was in the gift shop, and thats when I uh, saw this. (He holds up a little, tiny baby jumper that reads I (heart) New York.) Yeah, yknow what? I thought anything that can fit into this, cant be scary.",Chandler
9328,16876,3,21,The Chick And The Duck,Thank you. (She goes to take off her make-up and screams in pain) Oww!!!! God!,Rachel
44984,59720,10,17,"The Last One, Part I & II",It really was. You`ve learned some new moves!,Rachel
29696,40915,7,18,Joey`s Award,Many are scheduled to appear.,Joey
21712,31497,6,7,Phoebe Runs,"Oh God, yeah.",Joey
36996,49619,9,3,The Pediatrician,"Okay, look...",Joey
38128,51439,9,10,Christmas In Tulsa,"No not okay, you can`t look for Monica`s presents!",Chandler
2674,3336,1,14,The Candy Hearts,(looking at picture) Hey he`s wearing a sweater.,Rachel
44263,58843,10,13,Joey Speaks French,Emma`s down for the night.,Ross
43422,57834,10,10,Chandler Gets Caught,"Well it stupid, unfair question!",Rachel
8251,15525,3,16,The Morning After,Why not?! (to Chandler) Im hungry.,Joey
39576,53130,9,18,The Lottery,"Yeah, I want my tickets too (takes the bowl from Rachel)! And I`m buying the Knicks! And Steffi Graff, ah ah!",Joey
14347,23135,4,21,The Invitation,(seeing the thumbs up) Ahhhh!! (Hugs Rachel tighter.),Ross
15712,24702,5,4,Phoebe Hates PBS,"Uh, listen, I need that broiling pan that Joey borrowed the other day.",Monica
43797,58301,10,12,Phoebe`s Wedding,So Rach.,Phoebe
7866,15052,3,14,Phoebe`s Ex-Partner,What?!!,Rachel
29190,40332,7,16,The Truth About London,Does calling it not mean anything anymore?!,Joey
6019,12802,3,6,The Flashback,Im sorry the answer there would be...none of us.,Ross
37191,49889,9,4,The Sharks,Yes! Chandler Watches Shark Porn!,Monica
24654,34937,6,20,Mac And C.H.E.E.S.E.,I dont know! But its the same!,Joey
4434,5805,1,24,Rachel Finds Out,"So, uh, have you ever thought about being there for her?",Monica
15275,24167,5,2,All The Kissing,That`s not European!,Rachel
9856,17619,3,24,The Ultimate Fighting Champion,"Well, thats not true, he-he smacked you once.",Chandler
23468,33569,6,15,"That Could Have Been, Part I & II",Hes coming over! Hes coming over!,Rachel
31129,42594,7,23,Chandler And Monica`s Wedding,(turning a corner) There he is!!,Ross
30514,41830,7,21,The Vows,"Yes, and we`d appreciate it if no one told him yet.",Chandler
21655,31434,6,7,Phoebe Runs,leave...,Rachel
18288,27653,5,16,The Cop,No! That`s-that`s my arm!,Ross
14329,23114,4,21,The Invitation,Ross do you realise this is the first time in my life Im doing something I actually care about. This is the first time in my life Im doing something that Im actually good at. I mean. if you dont get that...,Rachel
17870,27174,5,14,Everybody Finds Out,Good idea!,Phoebe
26404,37020,7,3,Phoebe`s Cookies,Then how did you get caught in the barbed wire?,Ross
29667,40885,7,17,The Cheap Wedding Dress,Well then why cant I see it?,Chandler
19507,29114,5,22,Joey`s Big Break,Just stop it! Come on!,Rachel
25970,36563,7,1,Monica`s Thunder,Okay. Sure. (Sits down on her bed.),Ross
17544,26808,5,13,Joey`s Bag,"Well hello, Mrs. Penella! Thank you so much for coming! Well, okay look, here`s your umm, 3-D glasses and Reverend Pong will tell you when to put them on.",Phoebe
10509,18434,4,2,The Cat,Wow! They really got you guys. Your T.V. The chairs.,Rachel
26447,37063,7,3,Phoebe`s Cookies,"Yeah, but not as good as batch 17.",Phoebe
19610,29231,5,22,Joey`s Big Break,Hey! You ready to go?,Joey
19311,28851,5,21,The Ball,"Uhh, the ball thing.",Joey
6310,13132,3,7,The Race Car Bed,Hi Daddy!,Rachel
14102,22858,4,20,The Wedding Dresses,"I am, arent I?",Monica
37404,50140,9,5,Phoebe`s Birthday Dinner,"Oh sure, now youre Mister Sensitivity. But when you wanted to have sex right after my uncles funeral",Monica
37571,50340,9,6,The Male Nanny,(to Phoebe) Were you there?,Chandler
3526,4628,1,19,The Monkey Gets Away,"Oh. Then, no.",Joey
21898,31699,6,8,Ross`s Teeth,"Still I could tell. She was into me. (Joey rolls his eyes.) Well, why dont you set us up?",Ross
7398,14426,3,12,All The Jealousy,"All right, I have to get that, but no-no. (answering phone) Hello? (listens) (happily) Hi! Yeah listen, I`m, I`m in need of a stripper and I was told that you do that. (listens) Let me ask you this, what, what do you do for the extra hundred? (listens) So would I, would I have to provide the grapes?",Chandler
7799,14965,3,14,Phoebe`s Ex-Partner,You think you know me so well.,Phoebe
43559,57979,10,11,The Stripper Cries,"Well, I thought it first, Holmes.",Ross
22853,32830,6,12,The Joke,So is your apron. Youre wearing it like a cape.,Chandler
32962,44891,8,8,The Stripper,"Come on! Come on, itll be fun! Itll make me feel so much better.",Monica
6394,13243,3,7,The Race Car Bed,"Look, look Im sorry. Its just that....",Ross
13323,21893,4,16,The Fake Party,"Yeah, but at what cost? Six more months, three meals a day, Im gonna eat like, yknow millions of cows.",Phoebe
16898,26075,5,10,The Inappropriate Sister,"Uh yeah, right here. (He punches his fist through the wall next to the door.)",Joey
22894,32878,6,12,The Joke,"Mon, get out here!",Chandler
45292,60071,10,17,"The Last One, Part I & II",I don`t know. Maybe we can open this up somehow.,Chandler
25604,36165,6,24,"The Proposal, Part I & II",Me too! So happy for them!,Phoebe
38020,51010,9,8,Rachel`s Other Sister,Oh.. My sister`s raccoon.,Joey
43246,57652,10,10,Chandler Gets Caught,"Oh, thank God, `cause that thing`s really creepy! (looking outside the window) Look, there`s Chandler. (he`s on the street, talking to a woman)",Phoebe
5504,12165,3,3,The Jam,"Well, your gonna need much bigger jars.",Chandler
14778,23601,4,23,Ross`s Wedding,"Whoa-whoa-whoa! Emily, (Gives her the time-out signal.) honey, okay?",Ross
20211,29873,5,23,In Vegas,"Yeah! I`m fine! Thanks! (He starts to leave, but gets an idea and stops.) Hey Rach, how you doin`?",Joey
43659,58135,10,11,The Stripper Cries,"I know. But if some guy who looks like Corey Haim wants to kiss me tonight, I`m sooo gonna let them! (They spot Chandler)",Rachel
45345,60129,10,17,"The Last One, Part I & II","And we`re also gonna buy you tiny, bird hearing-aids.",Chandler
22122,31984,6,9,Ross Got High,"Well, this has been great!",Joey
10262,18137,4,1,The Jellyfish,What happened?,Ross
22215,32090,6,9,Ross Got High,"So um...Thanksgiving. The holiday season is upon us, hm?",Ross
7047,14007,3,10,Rachel Quits,"I cant! Its too late! Terry already hired that girl over there. (points to her) Look at her, shes even got waitress experience. Last night she was teaching everybody how to make napkin.... (starts to cry) swans.",Rachel
29813,41053,7,18,Joey`s Award,Have you seen Chandler?,Monica
13241,21786,4,16,The Fake Party,"Thats sweat. You throw up all morning, youll have that glow too.",Phoebe
37742,50575,9,7,Ross`s Inappropriate Song,"Well, I just tape it to the back of my toilet tank. (realises that anyone could have overheard that) I didn`t say that! It`s in a bank guarded by robots!",Joey
1321,1603,1,7,The Blackout,"(to Joey) OK, here goes.",Ross
13609,22251,4,17,The Free Porn,We have free porn here!!!,Chandler
3433,4516,1,19,The Monkey Gets Away,I can`t believe we are even having this discussion.,Chandler
7857,15043,3,14,Phoebe`s Ex-Partner,Yeah.,Joey
32880,44789,8,7,The Stain,I want me to stay too.,Rachel
24125,34306,6,18,Ross Dates A Student,"(on phone) Hi! Im back. (Goes to hang up the phone.) Yeah, that sounds great. (Listens) Okay. Well, well do it then. (Listens) Okay, bye-bye. (He hangs up the phone and turns around to see Joey standing close to him and screams.)",Chandler
33877,46012,8,12,Joey Dates Rachel,"Yeah well thats because uhI stayed in my room. Yeah, you dont want to look in my hamper.",Joey
13045,21510,4,15,All The Rugby,Like this. (Shrugs),Joey
22562,32514,6,11,The Apothecary Table,Because she hates Pottery Barn.,Rachel
29645,40860,7,17,The Cheap Wedding Dress,"Thats right! Wait no, Ben.",Ross
41422,55388,10,2,Ross Is Fine,"Oh, they`re brochures from different adoption agencies.",Monica
34214,46355,8,14,The Secret Closet,Yes!,Rachel
34242,46383,8,14,The Secret Closet,(walking casually away) Love you.,Chandler
40374,54076,9,21,The Fertility Test,"Hello? Oh hi, Doctor Connelly. (pause) No, she`s not here but, you know, I can tell her. Should I be sitting down for this? (his smile fades as he hears the answer) Oh. (pause) Well, so what does that mean? (pause) Ok. Ok, thank you. Thanks. (hangs up)",Chandler
6388,13235,3,7,The Race Car Bed,"Dr. Green. How are you? (offers his hand, and Dr. Green puts his scarf on it.)",Ross
39343,52868,9,17,The Memorial Service,I can`t believe this. Not even my geology lab partner? And I carried that guy! (gets up from his sofa),Ross
19842,29476,5,23,In Vegas,What?,Monica
20822,30531,6,3,Ross`s Denial,What?,Ross
30484,41800,7,21,The Vows,She`s bluffing!,Monica
27209,37927,7,6,The Nap Partners,"(entering) Hey, whats going on?",Monica
31084,42535,7,23,Chandler And Monica`s Wedding,"No! No, Im the minister! All right, look-look, put em both on the phone, Ill marry them right now.",Joey
6711,13613,3,9,The Football,"Great! Now, the score is 7 to almost 7.",Chandler
31956,43657,8,3,Rachel Tells...,"Come on! Come on! Here, okay-okay, you see this? (Points) This tiny thing that looks like a peanut?",Ross
8453,15733,3,17,The Ski Trip,Chandler!!,Monica
30441,41756,7,21,The Vows,CHANDLER AND MONICA!!!!,Phoebe
3918,5125,1,21,The Fake Monica,"Yes, yes, it does. Okay, look, the restaurant called, they wanna know if you`re gonna be showing up for work?",Rachel
14950,23806,5,1,Ross Says Rachel,"I, Ross",Ross
31631,43279,8,2,The Red Sweater,Ohh I wonder if that dude.,Joey
5954,12715,3,5,Frank Jr.,You really thought it was perfect?,Phoebe
20430,30119,6,1,Vegas,I dont know if its true.,Ross
25704,36265,6,24,"The Proposal, Part I & II",Okay.,Joey
18112,27453,5,15,The Girl Who Hits Joey,She`s right y`know.,Joey
26105,36700,7,2,Rachel`s Book,Okay.,Chandler
12568,20942,4,13,Rachel`s Crush,People can hear you.,Ross
39224,52743,9,17,The Memorial Service,Hi.,Phoebe
5518,12183,3,3,The Jam,"Um, not even a little bit.",Phoebe
29867,41114,7,18,Joey`s Award,"Please, dont play the music. Just uh one more. LIVE FROM NEW YORK! ITS SATURDAY NIGHT!!",Phoebe
33718,45850,8,12,Joey Dates Rachel,Oh really? What was your first?,Phoebe
21680,31459,6,7,Phoebe Runs,"All right, wait just one more second. Hi, it`s Phoebe and Rachel`s. Please leave a message, thanks!",Phoebe
3663,4801,1,20,The Evil Orthodontist,"Yes, it`s working! Why isn`t she calling me back?",Chandler
31073,42524,7,23,Chandler And Monica`s Wedding,You look so beautiful.,Rachel
3848,5030,1,21,The Fake Monica,Great. It`s gym class all over again.,Monica
26159,36766,7,2,Rachel`s Book,You bought the beach house when I was 23!,Monica
14859,23701,4,23,Ross`s Wedding,All right.,Rachel
3799,4976,1,21,The Fake Monica,Would you all relax? It`s not that big a deal.,Ross
10021,17842,3,25,At The Beach,"(entering) Oh, hey!",Phoebe
5116,11727,3,1,The Princess Leia Fantasy,Really.,Chandler
15482,24397,5,3,Hundredth,"Okay, Phoebe, this Dr. Oberman. He has no strong feelings about Fonzie or any of the Happy Days gang.",Ross
16352,25408,5,7,Ross Moves In,"Okay, great!",Monica
35354,47690,8,20,The Baby Shower,"I should know that. Lets see, just one moment please. Umm, here we are, a Wicked Wango card determines whether you go higher or lower.",Joey
38069,51091,9,8,Rachel`s Other Sister,"Actually its not pies, its just pie.",Joey
26323,36938,7,3,Phoebe`s Cookies,My dad wanted to know if you wanted to play racquetball with us.,Ross
729,900,1,4,George Stephanopoulos,"Uh, Rach, it`s the Visa card people.",Monica
6764,13674,3,9,The Football,Touchdown!! Touchdown!!,Phoebe
6625,13520,3,8,The Giant Poking Device,Ive found....,Phoebe
20464,30156,6,1,Vegas,YES!!!!!!!!,Monica
34028,46167,8,13,Chandler Takes A Bath,What?,Monica
35,36,1,1,Monica Gets A Roommate,"Oh really, so that hysterical phone call I got from a woman at sobbing 3:00 A.M., `I`ll never have grandchildren, I`ll never have grandchildren.` was what? A wrong number?",Monica
39196,52715,9,17,The Memorial Service,What are you doin`?,Chandler
22465,32404,6,11,The Apothecary Table,Hey!,Joey
7095,14062,3,11,Chandler Can`t Remember Which Sister,Sush!! I cannot believe she is still up there.,Monica
32145,43853,8,4,The Videotape,What?!,Ross
2320,2871,1,12,The Dozen Lasagnas,"Oh, I don`t make them a lot because I don`t think it`s fair to the other cookies",Phoebe
18498,27910,5,17,Rachel`s Inadvertant Kiss,"Honey, the tortilla chips know what you mean.",Chandler
29211,40361,7,16,The Truth About London,"(To Monica) Yknow, we havent found anybody else.",Chandler
9076,16587,3,20,The Dullhouse,"So I ah, talked to Lauren, kinda told her how things were with us. Did you ah, did you talk to Marshall?",Joey
29563,40770,7,17,The Cheap Wedding Dress,"Obviously! So, how do we decide?",Joey
2119,2625,1,11,Mrs. Bing,Okay. (Writes a little more) I am so hot!,Rachel
25747,36319,6,24,"The Proposal, Part I & II",Left! (Rachel hands her the napkin in her left hand and they both unfold and read them.) Thank you.,Phoebe
5788,12504,3,4,The Metaphorical Tunnel,"The big hat, the pearls, the little pick handbag.",Monica
34546,46717,8,15,The Birthing Video,(fakes a laugh) Please start drinking! (exits),Ross
40843,54678,9,23,In Barbados,"Ok. See you, bye.",Rachel
12514,20879,4,12,The Embryos,"All right, Im gonna go take a pregnancy test, right now.",Phoebe
11971,20234,4,10,The Girl From Poughkeepsie,"Yeah! Wait a minute, its been a long time that Ive been single. How come you never offered this before?",Rachel
27333,38070,7,7,Ross`s Library Book,"Oh, unbelievable! We had the best time!",Joey
1681,2079,1,9,Underdog Gets Away,"Tonight, on a very special Blossom.",Chandler
17490,26746,5,13,Joey`s Bag,"Hey Pheebs, how`s it going?",Ross
37878,50768,9,7,Ross`s Inappropriate Song,YEAH...! How great is this...? (they kiss),Phoebe
32851,44755,8,7,The Stain,Im leaning. This is where I lean.,Chandler
21661,31440,6,7,Phoebe Runs,"No, I have all of the good words. OK, fine, fine, we can switch.",Rachel
4022,5247,1,22,The Ick Factor,(answering it) Yes?,Chandler
40313,53998,9,21,The Fertility Test,"(shaking his head as if to say: of course not!) No, no, my mouth says the words, my brain is thinking monster trucks!",Joey
5841,12561,3,5,Frank Jr.,(coughing) What a geek!,Chandler
25228,35701,6,23,The Ring,Still crying?,Monica
41896,55986,10,4,The Cake,Hi Emma! It`s the year 2020. Are you still enjoying your nap?,Chandler
7455,14505,3,12,All The Jealousy,"Yeah, it`s a vase.",Phoebe
6065,12854,3,6,The Flashback,"Hey, Mon.",Chandler
35867,48300,8,22,Rachel Is Late,Well then you just must have a natural talent for it.,Rachel
1127,1371,1,6,The Butt,Tah-daaah!,Rachel
45261,60040,10,17,"The Last One, Part I & II",Okay.,Phoebe
26397,37013,7,3,Phoebe`s Cookies,"Come on, its not that big a deal!",Phoebe
24286,34504,6,19,Joey`s Fridge,That refrigerators dont live as long as people.,Rachel
9281,16829,3,21,The Chick And The Duck,"There you go! Good enough for your party, huh?",Ross
11602,19765,4,8,Chandler In A Box,Im gonna get you to talk to Chandler.,Ross
2101,2607,1,11,Mrs. Bing,You gotta let me slam the door! (Leaves; slams the door),Chandler
16051,25052,5,6,The Yeti,(looking at the flyer) This is all of your things.,Monica
17973,27284,5,15,The Girl Who Hits Joey,"Yeah. Salt, so your life always has flavor.",Phoebe
31305,42902,8,1,`I Do`,Before we go out there Ive got a present for ya.,Chandler
21899,31700,6,8,Ross`s Teeth,"Ohh, are you setting Ross up with someone? Does she have a wedding dress?",Rachel
4496,5880,1,24,Rachel Finds Out,"(panicked) Uhhh.. y`know what? Forget about me. Let`s, uh... let`s give you another turn.",Joey
6682,13583,3,9,The Football,Wow! Just like in the pros.,Chandler
11912,20162,4,9,They`re Going To Party,"I cant hear a word youre saying, my ears are ringing so bad.",Joey
21246,31002,6,5,Joey`s Porsche,This is so great! This is exactly how we set the plates at the restaurant.,Monica
40402,54111,9,22,The Donor,"Are you kidding? Rachel loves to shop! And she has great taste! Yeah, she`s the one who taught me, you don`t wear white after labour day and that you always, always, always have to put on underwear when you`re trying on clothes.",Joey
32854,44761,8,7,The Stain,You do?,Chandler
6517,13385,3,8,The Giant Poking Device,"See Pheebs, I promised you no one would die, didnt I?",Rachel
13258,21814,4,16,The Fake Party,Surprise!!!,Rachel
7570,14651,3,13,Monica And Richard Are Just Friends,"All right, you got it.",Joey
41653,55707,10,3,Ross`s Tan,"Hi Amanda! Actually now... it’s... is not a good time. Dinner tomorrow night? (Phoebe mouths `no`) Ok, Phoebe and I will see you then!",Monica
10604,18545,4,3,The Cuffs,What? You bet Id lose a nail?,Monica
25510,36047,6,24,"The Proposal, Part I & II","Okay, good stuff. Umm, well shes-shes sweet and pretty and",Ross
23730,33865,6,15,"That Could Have Been, Part I & II","Rachel, would you stop saying that?! Hey-hey look, remember on the show when-when Caprice was dying and she gave me",Joey
18985,28487,5,19,Ross Can`t Flirt,"Well, I don`t get it, but she wanted me to give you her phone number. (Hands him the slip of paper with the phone number on it.)",Rachel
13138,21645,4,15,All The Rugby,No. But I was showing him some cufflinks and I felt his pulse.,Rachel
15608,24578,5,4,Phoebe Hates PBS,"Well, I`m doing this telethon thing on TV and my agent got me a job as co-host!",Joey
4977,11580,3,1,The Princess Leia Fantasy,"Yes, Joey, I remember, she`s annoying, but you know what she`s-she`s his girlfriend now. I mean what can we do?",Rachel
15065,23938,5,1,Ross Says Rachel,"Yeah, were gonna go.",Chandler
12551,20922,4,12,The Embryos,"Well it stupid, unfair question!",Rachel
19094,28611,5,20,The Ride Along,"Come on man! (To Gary) Listen so uh, are you gonna squeeze the perps shoes a little bit before he lawyers up?",Joey
31482,43129,8,2,The Red Sweater,(entering) Hey!,Joey
42202,56357,10,5,Rachel`s Sister Babysits,(not excited anymore) You pierced her ears!?,Rachel
21418,31197,6,6,On The Last Night,"Well, instead of being sad that tonight is my last night together with Rachel we thought wed go out to dinner and celebrate the fact that Rachel is moving in with Phoebe.",Monica
562,704,1,3,The Thumb,"I know! I know, I opened it up and there it was, just floating in there, like this tiny little hitch-hiker!",Phoebe
8159,15411,3,16,The Morning After,(Removing one of the strips) Ow-ow-ow-ow! Oh my God!!!,Phoebe
16145,25152,5,6,The Yeti,Kind of? If you just kept this to yourself none of this would`ve happened.,Chandler
538,668,1,3,The Thumb,Fantastic! I have one question: How is that possible?,Monica
41193,55119,10,1,Joey and Rachel Kiss,I`m thinking about you...,Joey
1455,1772,1,8,Nana Dies Twice,What?,Monica
22724,32692,6,11,The Apothecary Table,(laughing hysterically) Youre right! That did cheer me up!,Joey
22962,32952,6,13,Rachel`s Sister,"Hey Joey, how come our stuff isnt free?",Ross
44013,58556,10,12,Phoebe`s Wedding,Chappy`s heart rate has slowed way down.,Ross
22669,32624,6,11,The Apothecary Table,"Yeah, yknow what? Dont look at it. (Realizes the display is their living room) Seriously, dont look at it. (Tries to pull Phoebe away.)",Rachel
764,936,1,4,George Stephanopoulos,(to the receptionist)`Scuse me.,Chandler
10521,18446,4,2,The Cat,I know!,Monica
6157,12963,3,6,The Flashback,What?!?!,Monica
31644,43298,8,2,The Red Sweater,Who are you? Ansel Adams?! Get outta here!,Chandler
21461,31240,6,6,On The Last Night,Hes at a dinner party.,Chandler
22302,32192,6,10,The Routine,"You are aware that shes not a monkey, right?",Chandler
34735,46919,8,16,Joey Tells Rachel,"Yeah, I thought you knew that.",Joey
7048,14008,3,10,Rachel Quits,That word was swans.,Ross
9570,17194,3,22,The Screamer,(grabs the window from the outside and sticks his head in) (whispering) When is she leaving?,Joey
11408,19569,4,7,Chandler Crosses The Line,Why not?,Rachel
42820,57160,10,8,The Late Thanksgiving,How late are we?,Joey
25994,36587,7,1,Monica`s Thunder,They give you away! Theres just-theres just too much wisdom in there. (Joey nods in agreement.) Just put some tea bags on there for like 15 minutes.,Phoebe
12510,20875,4,12,The Embryos,How do you feel?,Monica
11879,20126,4,9,They`re Going To Party,(entering) Hey!,Phoebe
12690,21087,4,13,Rachel`s Crush,Steps! (He opens the door to his apartment to Ross and Joey looking at the new Playboy) Slut! (Ross and Joey quickly hide the Playboy behind their backs. Chandler wonders into the girls apartment.) You will all be very happy to hear that Kathy is sleeping with that guy!,Chandler
5997,12769,3,5,Frank Jr.,"Rach, are you really gonna let him do this?",Monica
44856,59581,10,16,Rachel`s Going Away Party,"Oh, man, I`m not going to be able to handle this. (pause) Now I know how my students feel at the end of each year. And why they act out by giving me such bad evaluations.",Ross
44807,59529,10,16,Rachel`s Going Away Party,Here she is!,Ross
36403,48980,9,1,No One Proposes,(To Monica) Oh and I need to talk to you.,Phoebe
41938,56037,10,4,The Cake,"(She gives Joey a you-are-so-stupid-look) Ok, ten.",Monica
